Vessel,Ware,VesType,Rim Style,RimDiameter
MH470,Stoneware,Crock,Squarred,26
MH461,Stoneware,Crock,Squarred,26
NS268,Stoneware,Crock,Squarred,18
MH499,Stoneware,Crock,Squarred,20
MH478,Stoneware,Crock,Squarred,22
NS221,Coarse Earthenware,Crock,Rolled,16
MH437,Stoneware,Crock,Rolled,20
MH473,Stoneware,Crock,Squarred,20
MH475,Stoneware,Crock,Squarred,18
MH474,Stoneware,Crock,Squarred,16
NS246,Coarse Earthenware,Crock,Squarred,18
NS240,Coarse Earthenware,Crock,Squarred,20
MH481,Stoneware,Crock,Squarred,18
MH476,Stoneware,Crock,Squarred,20
MH444,Stoneware,Crock,Squarred,22
MH442,Stoneware,Crock,Squarred,24
SHV134,Coarse Earthenware,Crock,Rolled,18
SQ006,Stoneware,Crock,Squarred,24
NS242,Coarse Earthenware,Crock,Squarred,20
NS225,Coarse Earthenware,Crock,Squarred,20
MH432,Stoneware,Crock,Rolled,20
MH449,Stoneware,Crock,Squarred,22
MH445,Stoneware,Crock,Squarred,16
NS243,Coarse Earthenware,Crock,Squarred,20
SHV044,Coarse Earthenware,Crock,Rolled,32
NS262,Coarse Earthenware,Crock,Squarred,9
MH345,Coarse Earthenware,Crock,Squarred,11
NS270,Stoneware,Crock,Squarred,20
NS233,Coarse Earthenware,Crock,Squarred,8
SHV135,Coarse Earthenware,Crock,Rolled,18
1.13,Coarse Earthenware,Crock,Rolled,22
MH353,Coarse Earthenware,Crock,Rolled,16
NS264,Coarse Earthenware,Crock,Rolled,16
1.15,Coarse Earthenware,Crock,Rolled,16
SHV046,Coarse Earthenware,Crock,Squarred,20
3.04,Coarse Earthenware,Crock,Rolled,18
NS261,Coarse Earthenware,Crock,Squarred,16
BGC008,Coarse Earthenware,Crock,Squarred,22
1.15,Coarse Earthenware,Crock,Squarred,22
MH407,Coarse Earthenware,Crock,Squarred,20
BGC007,Coarse Earthenware,Crock,Squarred,16
SAV072,Stoneware,Crock,Squarred,14
MH367,Coarse Earthenware,Crock,Squarred,16
MH468,Stoneware,Crock,Squarred,16
MH479,Stoneware,Crock or Jar,Squarred,16
MH414,Stoneware,Crock or Jar,Rolled,20
SHV065,Coarse Earthenware,Crock or Jar,Rolled,24
SAV041,Coarse Earthenware,Crock or Jar,Squarred,18
SHV196,Stoneware,Crock or Jar,Squarred,18
SAV073,Stoneware,Crock or Jar,Squarred,16
SHV148,Coarse Earthenware,Crock or Jar,Rolled,20
NS275,Stoneware,Crock or Jar,Rolled,14
NS266,Coarse Earthenware,Crock or Jar,Squarred,12
