RimWidth,Rim Height,Body Thickness at Rim,Body Thickness 1cm Below Rim,Body Thickness 2cm Below Rim
7,16,13,12,11
7,10,10,10,10
21,11,13,11,10
12,25,16,12,10
8,16,13,12,10
19,17,11,10,9
8,18,12,10,9
7,20,16,12,9
6,19,15,13,9
7,18,10,8,8
14,20,9,9,8
17,20,11,9,8
11,16,11,9,8
9,17,12,9,8
6,16,13,10,8
22,14,11,10,8
21,8,9,8,7
12,12,10,8,7
17,21,12,8,7
15,25,9,8,7
6,12,9,8,7
7,16,11,8,7
6,16,11,9,7
10,10,7,6,6
15,25,7,7,6
11,14,7,7,6
21,15,9,7,6
19,8,11,8,6
8,13,4,4,5
17,8,7,6,5
18,14,6,4,4
6,14,6,5,4
18,13,7,4,3
16,10,6,4,
8,39,5,5,
15,16,8,5,
11,25,7,6,
,19,7,6,
19,13,9,6,
20,13,10,7,
13,19,10,8,
11,12,9,9,
16,15,11,9,
15,13,13,12,
13,17,12,12,11
7,18,12,9,9
17,25,11,10,9
15,20,11,10,9
14,15,11,11,9
12,17,9,8,8
15,16,7,7,7
18,18,9,7,7
13,14,8,7,7
16,26,10,8,7
12,18,8,8,7
22,9,9,8,7
19,14,10,8,7
14,23,10,9,7
15,20,6,6,6
15,22,7,6,6
14,18,8,6,6
10,17,6,6,6
22,11,6,6,6
18,26,9,7,6
11,26,8,7,6
11,23,7,7,6
8,12,4,5,5
12,17,6,5,5
13,18,5,5,5
10,21,6,5,5
15,20,7,5,5
14,14,7,6,5
13,22,6,6,5
16,11,6,6,5
18,11,7,6,5
13,26,6,6,5
12,28,6,6,5
12,25,7,6,5
11,15,7,7,5
,,5,4,4
9,16,4,4,4
11,22,5,5,4
13,20,6,5,4
12,23,7,5,4
14,26,7,5,4
7,18,4,3,3
9,26,4,3,3
10,21,5,4,3
10,24,5,4,3
10,18,4,4,
9,14,3,2,
11,22,5,4,
13,15,5,4,
14,25,6,4,
7,3,4,4,
10,21,4,4,
12,24,4,4,
12,22,5,4,
14,26,6,5,
15,26,8,5,
14,21,7,5,
15,28,7,5,
11,19,5,5,
,15,7,5,
13,33,5,5,
9,18,6,5,
13,23,6,5,
11,20,6,5,
16,11,6,5,
20,11,6,5,
11,10,6,6,
13,21,6,6,
14,19,5,6,
16,11,8,6,
13,25,8,6,
13,19,5,6,
14,22,6,6,
14,21,8,6,
15,6,7,6,
14,10,6,6,
10,16,7,6,
12,22,7,6,
11,22,7,6,
12,26,7,6,
14,17,7,7,
13,22,7,7,
14,18,8,7,
19,14,10,7,
21,13,8,7,
17,17,9,8,
15,21,9,8,
13,21,8,8,
19,12,10,8,
12,11,9,8,
25,11,9,8,
21,14,9,8,
21,15,9,8,
21,15,10,8,
18,26,10,9,
12,8,7,9,
9,22,11,9,
9,16,12,9,
15,18,12,10,
14,15,8,10,
,13,13,12,10
22,18,14,12,9
14,15,8,9,8
16,15,10,10,8
18,13,9,8,7
13,19,8,8,7
15,22,8,8,7
17,12,9,9,7
17,7,12,10,7
17,6,11,10,7
15,12,11,10,7
11,25,6,6,6
13,14,9,7,6
12,16,8,7,6
17,18,7,7,6
14,14,10,7,6
9,14,9,7,6
19,17,7,7,6
8,13,5,5,5
11,24,6,5,5
7,26,4,5,5
12,19,6,6,5
11,21,7,6,5
20,22,7,6,5
11,16,10,8,5
9,15,5,4,4
13,10,6,5,4
11,16,4,4,3
9,19,7,7,
7,7,5,5,
18,12,7,6,
17,13,7,8,
