RimWidth,Rim Height,Body Thickness at Rim,Body Thickness 1cm Below Rim,Body Thickness 2cm Below Rim,Vessel
7,16,13,12,11,MH470
7,10,10,10,10,MH461
21,11,13,11,10,NS268
12,25,16,12,10,MH499
8,16,13,12,10,MH478
19,17,11,10,9,NS221
8,18,12,10,9,MH437
7,20,16,12,9,MH473
6,19,15,13,9,MH475
7,18,10,8,8,MH474
14,20,9,9,8,NS246
17,20,11,9,8,NS240
11,16,11,9,8,MH481
9,17,12,9,8,MH476
6,16,13,10,8,MH444
22,14,11,10,8,MH442
21,8,9,8,7,SHV134
12,12,10,8,7,SQ006
17,21,12,8,7,NS242
15,25,9,8,7,NS225
6,12,9,8,7,MH432
7,16,11,8,7,MH449
6,16,11,9,7,MH445
10,10,7,6,6,NS243
15,25,7,7,6,SHV044
11,14,7,7,6,NS262
21,15,9,7,6,MH345
19,8,11,8,6,NS270
8,13,4,4,5,NS233
17,8,7,6,5,SHV135
18,14,6,4,4,1.13
6,14,6,5,4,MH353
18,13,7,4,3,NS264
16,10,6,4,,1.15
8,39,5,5,,SHV046
15,16,8,5,,3.04
11,25,7,6,,NS261
,19,7,6,,BGC008
19,13,9,6,,1.15
20,13,10,7,,MH407
13,19,10,8,,BGC007
11,12,9,9,,SAV072
16,15,11,9,,MH367
15,13,13,12,,MH468
13,17,12,12,11,MH479
7,18,12,9,9,MH414
17,25,11,10,9,SHV065
15,20,11,10,9,SAV041
14,15,11,11,9,SHV196
12,17,9,8,8,SAV073
15,16,7,7,7,SHV148
18,18,9,7,7,NS275
13,14,8,7,7,NS266
16,26,10,8,7,NS265
12,18,8,8,7,NS231
22,9,9,8,7,SAV029
19,14,10,8,7,MH397
14,23,10,9,7,SHV087
15,20,6,6,6,SHV066
15,22,7,6,6,NS229
14,18,8,6,6,SAV042
10,17,6,6,6,SHV086
22,11,6,6,6,MH377
18,26,9,7,6,SHV111
11,26,8,7,6,SHV089
11,23,7,7,6,SHV088
8,12,4,5,5,SHV155
12,17,6,5,5,SHV149
13,18,5,5,5,SHV153
10,21,6,5,5,SHV082
15,20,7,5,5,SHV037
14,14,7,6,5,SHV048
13,22,6,6,5,SHV091
16,11,6,6,5,SHV116
18,11,7,6,5,SHV050
13,26,6,6,5,SHV054
12,28,6,6,5,SHV053
12,25,7,6,5,SHV077
11,15,7,7,5,SHV071
,,5,4,4,SHV070
9,16,4,4,4,SHV085
11,22,5,5,4,SHV093
13,20,6,5,4,SHV108
12,23,7,5,4,SHV061
14,26,7,5,4,SHV090
7,18,4,3,3,SHV131
9,26,4,3,3,SHV132
10,21,5,4,3,SHV083
10,24,5,4,3,SHV052
10,18,4,4,,NS257
9,14,3,2,,SHV113
11,22,5,4,,SHV069
13,15,5,4,,SHV110
14,25,6,4,,SHV109
7,3,4,4,,SHV164
10,21,4,4,,SHV080
12,24,4,4,,SHV039
12,22,5,4,,SHV076
14,26,6,5,,SHV092
15,26,8,5,,SHV063
14,21,7,5,,SHV067
15,28,7,5,,SHV062
11,19,5,5,,SHV104
,15,7,5,,NS223
13,33,5,5,,SHV136
9,18,6,5,,SHV056
13,23,6,5,,SHV055
11,20,6,5,,SHV057
16,11,6,5,,MH408
20,11,6,5,,MH450
11,10,6,6,,SHV049
13,21,6,6,,SHV099
14,19,5,6,,SHV146
16,11,8,6,,SHV161
13,25,8,6,,SHV102
13,19,5,6,,SHV103
14,22,6,6,,SHV095
14,21,8,6,,SHV101
15,6,7,6,,NS250
14,10,6,6,,SHV126
10,16,7,6,,NS255
12,22,7,6,,SHV139
11,22,7,6,,BGC033
12,26,7,6,,SHV075
14,17,7,7,,SHV064
13,22,7,7,,SHV074
14,18,8,7,,SAV035
19,14,10,7,,MH382
21,13,8,7,,MH400
17,17,9,8,,SHV156
15,21,9,8,,SHV112
13,21,8,8,,SAV045
19,12,10,8,,MH376
12,11,9,8,,MH497
25,11,9,8,,MH402
21,14,9,8,,MH380
21,15,9,8,,MH388
21,15,10,8,,MH381
18,26,10,9,,SHV145
12,8,7,9,,BGA052
9,22,11,9,,MH359
9,16,12,9,,MH451
15,18,12,10,,NS245
14,15,8,10,,MH403
,13,13,12,10,MH484
22,18,14,12,9,MH413
14,15,8,9,8,NS237
16,15,10,10,8,SQ004
18,13,9,8,7,BGA059
13,19,8,8,7,NS236
15,22,8,8,7,NS248
17,12,9,9,7,NS293
17,7,12,10,7,NS297
17,6,11,10,7,NS298
15,12,11,10,7,NS267
11,25,6,6,6,NS234
13,14,9,7,6,NS299
12,16,8,7,6,BGA019
17,18,7,7,6,NS230
14,14,10,7,6,NS269
9,14,9,7,6,MH443
19,17,7,7,6,MH406
8,13,5,5,5,SHV107
11,24,6,5,5,NS249
7,26,4,5,5,SHV029
12,19,6,6,5,SHV100
11,21,7,6,5,SHV097
20,22,7,6,5,NS235
11,16,10,8,5,NS247
9,15,5,4,4,SHV041
13,10,6,5,4,SHV045
11,16,4,4,3,SHV105
9,19,7,7,,NS239
7,7,5,5,,SHV027
18,12,7,6,,MH466
17,13,7,8,,MH465
